[0, 2, 5, inf, inf, inf, inf]
[inf, 0, inf, 2, inf, inf, inf]
[inf, inf, 0, inf, 1, inf, inf]
[inf, inf, inf, 0, inf, -4, inf]
[inf, inf, inf, inf, 0, 3, inf]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

[0, 2, 5, 4, 6, inf, inf]
[inf, 0, inf, 2, inf, -2, inf]
[inf, inf, 0, inf, 1, 4, inf]
[inf, inf, inf, 0, inf, -4, -2]
[inf, inf, inf, inf, 0, 3, 5]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

[0, 2, 5, 4, 6, 0, inf]
[inf, 0, inf, 2, inf, -2, 0]
[inf, inf, 0, inf, 1, 4, 6]
[inf, inf, inf, 0, inf, -4, -2]
[inf, inf, inf, inf, 0, 3, 5]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

[0, 2, 5, 4, 6, 0, 2]
[inf, 0, inf, 2, inf, -2, 0]
[inf, inf, 0, inf, 1, 4, 6]
[inf, inf, inf, 0, inf, -4, -2]
[inf, inf, inf, inf, 0, 3, 5]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

[0, 2, 5, 4, 6, 0, 2]
[inf, 0, inf, 2, inf, -2, 0]
[inf, inf, 0, inf, 1, 4, 6]
[inf, inf, inf, 0, inf, -4, -2]
[inf, inf, inf, inf, 0, 3, 5]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

[0, 2, 5, 4, 6, 0, 2]
[inf, 0, inf, 2, inf, -2, 0]
[inf, inf, 0, inf, 1, 4, 6]
[inf, inf, inf, 0, inf, -4, -2]
[inf, inf, inf, inf, 0, 3, 5]
[inf, inf, inf, inf, inf, 0, 2]
[inf, inf, inf, inf, inf, inf, 0]

